stars,forks,watchers,open_issues,size
2955,434,2955,79,276221
2955,240,2955,4,9539
2955,281,2955,75,18
2955,718,2955,95,3200
2954,188,2954,0,2062
2954,317,2954,135,157
2954,187,2954,52,5406
2954,445,2954,37,41172
2954,763,2954,17,21703
2954,131,2954,20,2104
2953,89,2953,38,4766
2953,890,2953,11,56
2953,372,2953,384,10966
2953,194,2953,45,226962
2953,499,2953,30,6
2952,532,2952,229,2984
2952,241,2952,0,149
2952,210,2952,11,12140
2952,479,2952,142,8191
2952,231,2952,36,12636
2952,639,2952,225,134199
2952,462,2952,235,31917
2951,193,2951,27,78461
2951,388,2951,13,4829
2951,510,2951,132,60553
2951,637,2951,8,156
2951,367,2951,1,1297
2951,151,2951,5,27257
2950,389,2950,47,10707
2950,554,2950,5,72
2950,1089,2950,48,12658
2950,719,2950,21,2821
2950,100,2950,0,852
2950,186,2950,6,365
2950,920,2950,73,8284
2950,272,2950,69,9092
2949,415,2949,128,39946
2949,279,2949,146,46805
2949,525,2949,43,38317
2949,206,2949,37,3809
2949,828,2949,10,62
2948,379,2948,66,28423
2948,357,2948,0,171
2948,400,2948,64,3960
2947,387,2947,6,3074
2947,380,2947,390,464486
2947,322,2947,63,1315204
2947,1171,2947,26,25369
2947,518,2947,396,113686
2946,341,2946,111,829
2946,486,2946,18,8982
2946,227,2946,93,4815
2946,618,2946,39,29009
2946,317,2946,24,408
2946,429,2946,24,19788
2946,120,2946,9,475
2946,119,2946,59,8658
2946,284,2946,33,180
2946,2108,2946,16,478980
2946,1167,2946,99,33564
2946,241,2946,74,43723
2946,355,2946,224,708
2946,3543,2946,134,66953
2945,300,2945,19,56
2945,266,2945,464,26194
2945,1052,2945,429,74478
2945,265,2945,2,78
2945,869,2945,207,0
2944,1010,2944,23,42612
2944,935,2944,21,1536
2944,572,2944,9,1043
2944,305,2944,0,7
2944,158,2944,49,85299
2944,981,2944,5,6326
2944,261,2944,41,2368
2943,436,2943,45,1073
2943,369,2943,35,12603
2943,316,2943,48,27614
2943,133,2943,5,861
2945,79,2945,3,599
2943,506,2943,26,542
2943,572,2943,61,7
2942,514,2942,20,455
